"fundamental_hz","harmonic","target_frequency_hz","frames","true_relative_deg","measured_error_deg","circular_stddev_deg","resultant"
"30000.0","4","120000.0","20","161","-1.43400000439927","0.06343500926392719","0.9999993871098782"
"30000.0","5","150000.0","50","-162.0","-2.821599970804412","0.14371306147068266","0.9999968543055315"
"30000.0","6","180000.0","20","-125","-4.21249988384033","0.19039116982440812","0.9999944790076511"
"30000.0","7","210000.0","20","-88","-6.09749975672836","0.22653662309614794","0.9999921837239893"
"30000.0","8","240000.0","20","-51","-8.26449999906507","0.06696827920854324","0.9999993169336826"
"30000.0","9","270000.0","20","-14","-10.9599999925064","0.07829432033485999","0.9999990663479533"
"30000.0","10","300000.0","20","23","-14.7924999916297","0.11013060579587373","0.9999981526873905"
"40000.0","2","80000.0","10","87","-0.469999962196948","0.12132602451062782","0.9999977580176603"
"40000.0","3","120000.0","10","124","-1.49600000834285","0.09738584224987526","0.9999985555048928"
"40000.0","4","160000.0","10","161","-3.05999999061776","0.08087027146124971","0.9999990039014106"
"40000.0","5","200000.0","10","-162","-5.09399998384673","0.08811357448616958","0.9999988174755696"
"40000.0","6","240000.0","10","-125","-7.84599993248078","0.23580511102065574","0.999991531054683"
"40000.0","7","280000.0","10","-88","-11.5729997148712","0.29031183602547245","0.9999871633577788"
"40000.0","8","320000.0","10","-51","-16.7010004654533","0.21309389059322936","0.9999930838367637"
"40000.0","9","360000.0","10","-14","-24.3710002258067","0.16609938684342973","0.9999957979628703"
"40000.0","10","400000.0","50","23.0","-36.32160008260059","0.18876827206716834","0.9999945727283239"
"50000.0","2","100000.0","10","87","-0.809000307211296","0.18441535065306253","0.9999948201432175"
"50000.0","3","150000.0","10","124","-2.37200003480076","0.15025318281188793","0.9999965614815917"
"50000.0","4","200000.0","10","161","-4.71900032725571","0.2181950159849076","0.999992748751021"
"50000.0","5","250000.0","50","-162.0","-8.273799965624852","0.13754838965817168","0.999997118390453"
"50000.0","6","300000.0","10","-125","-13.6009999680541","0.08537563071990091","0.9999988898226856"
"50000.0","7","350000.0","10","-88","-21.8269997818888","0.1504692347158481","0.9999965515858774"
"50000.0","8","400000.0","10","-51","-35.2889999574029","0.1063437901616837","0.9999982775420234"
"50000.0","9","450000.0","10","-14","-55.4439999400914","0.11155268711549479","0.9999981046719052"
